,ts_code,name,trade_date,lu_time,ld_time,open_time,last_time,lu_desc,tag,theme,net_change,bid_amount,status,bid_change,bid_turnover,lu_bid_vol,pct_chg,bid_pct_chg,rt_pct_chg,limit_order,amount,turnover_rate,free_float,lu_limit_order
0,600262.SH,北方股份,20220110,,14:50:43,,,,跌停,工程机械、无人驾驶,-36265704.0,,,,,,,,,4839900.0,293383154.0,15.19,1859432349.0,
1,600399.SH,抚顺特钢,20220110,,14:18:36,,,,跌停,军工、中报增长,-618086794.0,,,,,,,,,18595922.0,1842795144.0,6.63,26617962853.0,
2,000554.SZ,泰山石油,20220110,,09:35:09,,,,跌停,氢能源、石油石化,-51888856.0,,,,,,,,,10317367.0,535063336.0,24.23,2179524757.0,
3,600530.SH,交大昂立,20220110,,09:31:10,,,,跌停,ST摘帽、食品饮料,-62666019.0,,,,,,,,,17926172.0,543970717.0,21.86,2447537203.0,
4,000719.SZ,中原传媒,20220110,,09:30:15,,,,跌停,版权、平台经济,-41137924.0,,,,,,,,,62357.0,470859524.0,21.8,2136895095.0,
5,002667.SZ,鞍重股份,20220110,,09:25:00,,,,跌停,锂矿、新型工业化,-16983192.0,,,,,,,,,252510784.0,35169216.0,1.73,2030417537.0,
6,000819.SZ,岳阳兴长,20220110,,09:25:00,,,,跌停,化工、POE胶膜,12685962.0,,,,,,,,,25531062.0,752869083.0,23.93,3112811676.0,
7,000503.SZ,国新健康,20220110,,09:25:00,,,,跌停,AI医疗、DRG/DIP,-44091248.0,,,,,,,,,533138272.0,168074399.0,1.46,11540002910.0,
8,002721.SZ,金一文化,20220107,,14:49:42,,,,跌停,ST板块、超跌,-8903234.0,,,,,,,,,7140540.0,374385383.0,18.07,2028455360.0,
9,002412.SZ,汉森制药,20220107,,14:42:12,,,,跌停,一季报增长、中药,-17170433.0,,,,,,,,,1084318.0,311102710.0,15.7,1910556315.0,
10,601798.SH,蓝科高新,20220107,,14:33:27,,,,跌停,国企改革、氢能源,-30937338.0,,,,,,,,,9406056.0,320745651.0,23.19,1326788816.0,
11,000546.SZ,金圆股份,20220107,,14:33:15,,,,跌停,锂矿、金属铟,-151335159.0,,,,,,,,,1621444.0,1229958701.0,18.92,6326277336.0,
12,002644.SZ,佛慈制药,20220107,,14:27:48,,,,跌停,中药、医药,-36214751.0,,,,,,,,,137178.0,271969345.0,14.85,1762817582.0,
13,603311.SH,金海高科,20220107,,14:27:11,,,,跌停,家电、地产链,-29260758.0,,,,,,,,,7403742.0,281549156.0,19.56,1340503630.0,
14,300261.SZ,雅本化学,20220107,,14:16:06,,,,跌停,NMN、新冠药概念,-329475717.0,,,,,,,,,72425912.0,2770670171.0,28.99,8770508186.0,
15,600444.SH,国机通用,20220107,,13:59:18,,,,跌停,工程机械、水利,-42777192.0,,,,,,,,,18058100.0,268839350.0,20.12,1282010740.0,
16,002892.SZ,科力尔,20220107,,13:55:51,,,,跌停,机器人概念、超跌,-23238832.0,,,,,,,,,14813015.0,189098707.0,7.28,2500621085.0,
17,002566.SZ,益盛药业,20220107,,13:25:09,,,,跌停,年报增长、中药,-17379626.0,,,,,,,,,9013048.0,286001064.0,14.34,1935101723.0,
18,600158.SH,中体产业,20220107,,13:05:50,,,,跌停,体育产业、职业教育,-340356179.0,,,,,,,,,53252296.0,1106363556.0,11.09,9603517055.0,
19,002897.SZ,意华股份,20220107,,13:00:03,,,,跌停,高速连接、光伏支架,-34206710.0,,,,,,,,,3850490.0,272441840.0,8.31,3155385327.0,
20,002756.SZ,永兴材料,20220107,,10:12:39,,,,跌停,锂矿、有色金属,-71676761.0,,,,,,,,,35487272.0,1791670369.0,7.22,24287622278.0,
21,002865.SZ,钧达股份,20220107,,09:52:33,,,,跌停,BC电池、TOPCon,-4539147.0,,,,,,,,,5246826.0,355663995.0,11.96,2927574412.0,
22,000503.SZ,国新健康,20220107,,09:40:36,,,,跌停,AI医疗、DRG/DIP,-192852169.0,,,,,,,,,379073664.0,905023693.0,6.91,12819279511.0,
23,600262.SH,北方股份,20220107,,09:34:41,,,,跌停,工程机械、股权转让,-12251579.0,,,,,,,,,10626326.0,324396414.0,15.29,2065676477.0,
24,002349.SZ,精华制药,20220107,,09:33:36,,,,跌停,中药、医药,-114592099.0,,,,,,,,,152660160.0,1032581322.0,24.11,4237974828.0,
25,000819.SZ,岳阳兴长,20220107,,09:32:33,,,,跌停,化工、POE胶膜,-13036808.0,,,,,,,,,207050832.0,254094817.0,7.28,3458679639.0,
26,000812.SZ,陕西金叶,20220107,,09:30:57,,,,跌停,电子烟、物业服务,-676917169.0,,,,,,,,,27698246.0,1922313701.0,35.61,5304402687.0,
27,002750.SZ,龙津药业,20220107,,09:25:00,,,,跌停,ST板块、中药,-59491706.0,,,,,,,,,78969464.0,924716139.0,34.35,2639569204.0,
28,002599.SZ,盛通股份,20220106,,14:21:18,,,,跌停,机器人概念、教育,-108147266.0,,,,,,,,,2243951.0,635121271.0,24.09,2570004967.0,
29,600880.SH,博瑞传播,20220106,,09:31:24,,,,跌停,AIGC、NFT概念,-46277687.0,,,,,,,,,367832672.0,331927437.0,5.77,5611036552.0,
30,605567.SH,春雪食品,20220106,,09:25:00,,,,跌停,鸡肉、平台经济,-31963979.0,,,,,,,,,158661040.0,56255580.0,5.48,1026000000.0,
31,001296.SZ,长江材料,20220105,,09:25:00,,,,跌停,3D打印、环保,12841253.0,,,,,,,,,10928920.0,528279867.0,52.3,986811000.0,
32,605123.SH,派克新材,20220105,,14:43:45,,,,跌停,航空发动机、专精特新,-13435698.0,,,,,,,,,3556124.0,234471246.0,5.3,4283513857.0,
33,000537.SZ,广宇发展,20220105,,13:57:30,,,,跌停,电力、光伏EPC,-104205277.0,,,,,,,,,47002992.0,758695784.0,7.83,9388361665.0,
34,600452.SH,涪陵电力,20220105,,13:53:12,,,,跌停,国企改革、电力,-212201677.0,,,,,,,,,6312942.0,681784933.0,12.38,5361001357.0,
35,002629.SZ,仁智股份,20220105,,13:27:42,,,,跌停,石油石化、天然气,-56972688.0,,,,,,,,,10735410.0,343207030.0,23.37,1441325435.0,
36,603917.SH,合力科技,20220105,,13:22:59,,,,跌停,一体化压铸、有色金属,-15680708.0,,,,,,,,,849804.0,162060820.0,10.19,1541012148.0,
37,000989.SZ,九芝堂,20220105,,13:22:24,,,,跌停,ST板块、中药,-2406332.0,,,,,,,,,14907787.0,816233276.0,19.47,4070842241.0,
38,002480.SZ,新筑股份,20220105,,13:18:48,,,,跌停,轨道交通、氢能源,-53509650.0,,,,,,,,,570654.0,853886386.0,26.11,3202990406.0,
39,002268.SZ,卫士通,20220105,,13:16:03,,,,跌停,网络安全、超跌,-416014918.0,,,,,,,,,64584164.0,1581748513.0,5.9,25728836209.0,
40,002865.SZ,钧达股份,20220105,,13:04:18,,,,跌停,BC电池、TOPCon,-45256515.0,,,,,,,,,15648165.0,196647948.0,5.55,3432023454.0,
41,605033.SH,美邦股份,20220105,,10:39:23,,,,跌停,农业、化工,-40169257.0,,,,,,,,,25851402.0,305875930.0,38.83,731432000.0,
42,600876.SH,洛阳玻璃,20220105,,10:29:03,,,,跌停,玻璃、光伏玻璃,-36759585.0,,,,,,,,,13114375.0,214733958.0,5.33,3895783487.0,
43,002873.SZ,新天药业,20220105,,10:28:51,,,,跌停,并购重组、中药,-11173881.0,,,,,,,,,3034980.0,456917921.0,28.26,1561576231.0,
44,603963.SH,大理药业,20220105,,10:26:19,,,,跌停,ST板块、中药,-16307302.0,,,,,,,,,2236298.0,158442367.0,26.58,584576936.0,
45,002581.SZ,未名医药,20220105,,10:25:00,,,,跌停,医药、中药,-111045541.0,,,,,,,,,18605154.0,713247077.0,11.47,6056482737.0,
46,300412.SZ,迦南科技,20220105,,10:22:39,,,,跌停,合成生物、医药,-232240031.0,,,,,,,,,3409489.0,1315776943.0,40.97,3031797835.0,
47,600501.SH,航天晨光,20220105,,10:20:04,,,,跌停,商业航天、大飞机,-94712838.0,,,,,,,,,5591286.0,483390466.0,16.67,2812258816.0,
48,002644.SZ,佛慈制药,20220105,,10:15:27,,,,跌停,中药、医药,-44681015.0,,,,,,,,,37260516.0,273567226.0,13.95,1917553792.0,
49,002584.SZ,西陇科学,20220105,,10:08:51,,,,跌停,磷酸铁锂、光刻胶,-138917399.0,,,,,,,,,47895240.0,1050934278.0,27.35,3676942664.0,
50,002432.SZ,九安医疗,20220105,,10:07:57,,,,跌停,流感、抗原检测,-334521838.0,,,,,,,,,112264728.0,3560192803.0,20.27,17253598171.0,
51,000762.SZ,西藏矿业,20220105,,10:02:06,,,,跌停,锂矿、盐湖提锂,-551054955.0,,,,,,,,,52198624.0,3000159367.0,14.61,20145703206.0,
52,603982.SH,泉峰汽车,20220105,,09:58:15,,,,跌停,汽车零部件、特斯拉概念,1051283.0,,,,,,,,,12517445.0,293633898.0,8.97,3218257253.0,
53,002246.SZ,北化股份,20220105,,09:58:09,,,,跌停,化工、核污染概念,-52767916.0,,,,,,,,,18172734.0,799802573.0,28.25,2738669378.0,
54,603058.SH,永吉股份,20220105,,09:51:22,,,,跌停,芯片、大麻,-35643473.0,,,,,,,,,31549814.0,197713403.0,12.92,1489381541.0,
55,002951.SZ,金时科技,20220105,,09:51:09,,,,跌停,ST板块、烟草,-72308589.0,,,,,,,,,34364940.0,206061040.0,23.26,832766659.0,
56,002565.SZ,顺灏股份,20220105,,09:35:48,,,,跌停,大麻、电子烟,-113548370.0,,,,,,,,,81090040.0,501079741.0,10.21,4826271924.0,
57,000705.SZ,浙江震元,20220105,,09:35:18,,,,跌停,合成生物、浙江,-15337750.0,,,,,,,,,3668485.0,410780956.0,18.12,2201630914.0,
58,600668.SH,尖峰集团,20220105,,09:32:58,,,,跌停,地产链、医药,-173155404.0,,,,,,,,,3386835.0,1536011583.0,28.26,5222033910.0,
59,600444.SH,国机通用,20220105,,09:32:20,,,,跌停,工程机械、水利,-6799464.0,,,,,,,,,44078744.0,155841393.0,11.3,1368502007.0,
60,600981.SH,汇鸿集团,20220105,,09:30:56,,,,跌停,跨境电商、预制菜,-93261460.0,,,,,,,,,4831912.0,682835040.0,25.28,2548191155.0,
61,603230.SH,内蒙新华,20220105,,09:25:04,,,,跌停,版权、新零售,-16977428.0,,,,,,,,,436155136.0,123699275.0,6.68,1851581950.0,
62,605369.SH,拱东医疗,20220104,,14:23:44,,,,跌停,一季报增长、送转填权,-772485.0,,,,,,,,,13886414.0,183911732.0,4.89,3610880000.0,
