,ts_code,name,start_date,end_date,ann_date,change_reason
3582,000670.SZ,ST盈方,20190327,20190423,20190326,ST
3572,000971.SZ,ST高升,20190328,20190429,20190327,ST
3544,002143.SZ,ST印纪,20190408,20190429,20190404,ST
3521,000571.SZ,ST大洲,20190416,20190429,20190415,ST
3494,002711.SZ,ST欧浦,20190424,20190505,20190423,ST
3527,000820.SZ,ST节能,20190412,20190505,20190411,ST
3528,600687.SH,ST刚泰,20190412,20190505,20190411,ST
3532,000752.SZ,ST西发,20190410,20190505,20190409,ST
3533,600891.SH,ST秋林,20190410,20190505,20190409,ST
3640,002450.SZ,ST康得新,20190123,20190505,20190122,ST
3647,600462.SH,ST九有,20190115,20190505,20190114,ST
3479,002477.SZ,*ST雏鹰,20190426,20190826,20190425,*ST
3587,600877.SH,*ST嘉陵,20190326,20190924,20190325,*ST
3431,600615.SH,ST丰华,20190429,20190929,20190426,ST
3400,002143.SZ,*ST印纪,20190430,20191017,20190429,*ST
3333,600747.SH,*ST大控,20190506,20191027,20190430,*ST
3235,603810.SH,ST丰山,20190716,20191113,20190715,ST
3334,000018.SZ,*ST神城,20190506,20191124,20190430,*ST
3401,600240.SH,*ST华业,20190430,20191211,20190429,*ST
3194,601258.SH,*ST庞大,20190909,20200114,20190906,*ST
3442,600186.SH,*ST莲花,20190429,20200408,20190426,*ST
3444,600234.SH,*ST山水,20190429,20200408,20190426,*ST
3440,600396.SH,*ST金山,20190429,20200412,20190426,*ST
3501,600526.SH,*ST菲达,20190422,20200416,20190419,*ST
3335,600119.SH,*ST长投,20190506,20200420,20190430,*ST
3094,600290.SH,ST华仪,20191226,20200426,20191225,ST
3573,002113.SZ,ST天润,20190328,20200428,20190327,ST
3402,600721.SH,*ST百花,20190430,20200429,20190429,*ST
3375,600595.SH,*ST中孚,20190506,20200429,20190430,*ST
3164,002716.SZ,ST金贵,20191009,20200429,20191008,ST
3226,600856.SH,ST中天,20190812,20200429,20190809,ST
3460,600385.SH,*ST金泰,20190426,20200429,20190425,*ST
3564,600698.SH,*ST天雁,20190329,20200429,20190328,*ST
3426,600726.SH,*ST华源,20190430,20200505,20190429,*ST
2876,600530.SH,*ST昂立,20200430,20200505,20200429,*ST
3435,600666.SH,*ST瑞德,20190429,20200505,20190426,*ST
3263,600179.SH,ST安通,20190619,20200505,20190618,ST
3282,002586.SZ,ST围海,20190529,20200505,20190528,ST
3281,603996.SH,ST中新,20190529,20200505,20190528,ST
3461,600084.SH,*ST中葡,20190426,20200510,20190425,*ST
3337,600654.SH,*ST中安,20190506,20200510,20190430,*ST
3446,600421.SH,*ST仰帆,20190429,20200512,20190426,*ST
3338,600652.SH,*ST游久,20190506,20200512,20190430,*ST
2784,002323.SZ,*ST百特,20200506,20200528,20200430,*ST
3565,000806.SZ,ST银河,20190329,20200531,20190328,ST
3284,002220.SZ,ST天宝,20190528,20200601,20190527,ST
3480,002200.SZ,*ST云投,20190426,20200603,20190425,*ST
3594,000897.SZ,*ST津滨,20190321,20200604,20190320,*ST
3592,002190.SZ,*ST集成,20190325,20200607,20190322,*ST
3365,002333.SZ,*ST罗普,20190506,20200608,20190430,*ST
3464,002642.SZ,*ST荣联,20190426,20200608,20190425,*ST
