ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales,cost_fin_assets,fair_value_fin_assets,contract_assets,contract_liab,accounts_receiv_bill,accounts_pay,oth_rcv_total,fix_assets_total,cip_total,oth_pay_total,long_pay_total,debt_invest,oth_debt_invest,update_flag
000404.SZ,20221015,20221015,20220930,1,1,3,695995979.0,1583133087.97,1118115205.84,72697316.91,,3930543246.81,450539616.44,57569492.56,2071902698.59,,191326398.67,,,1108593313.96,,392500000.0,,,,,,,44844885.59,8978095156.84,,,180537716.53,3034739.01,,,,,108332670.85,,,,,277024855.16,6093529.48,28940970.72,,55975491.75,,16614228.71,3706628733.98,,,,12697076.0,,,,,,,,,,,,,12684723890.82,80000000.0,1365683476.81,,,,,3240257747.76,2494476154.91,,,,103167221.08,27675397.66,,,,,,,,,,,111453500.0,4814819.92,7638914064.36,,,,,40811464.54,145863583.19,,349351425.34,,37860992.48,,,,,,,,,,,,,,,7988265489.7,,,,,1220261228.22,3476197172.9,4696458401.12,12684723890.82,44261455.18,6255583.18,,,,,,,,,,,10879656.97,48824239.5,2129472191.15,5734733902.67,26750962.39,1554224033.27,108332670.85,204700514.24,,903000000.0,,0
000519.SZ,20221018,20221018,20220930,1,1,3,1392558982.0,3783191882.82,4496193836.23,82215350.18,90351378.23,5083411344.87,204000000.0,496986647.39,1962711551.03,,208782223.31,,,1513681548.35,,,,,,,,,13539807.56,9770991293.0,,,,36831325.11,,,,,,,,,,476315062.23,,,5377287.19,25920350.69,,258181148.61,4503597693.01,,,,,,,,,,,,,,,,,14274588986.01,80000000.0,90000000.0,,,,,763692037.67,2193591289.46,,,,161901562.61,189375776.48,,,,,,,,,,,11474918.32,5051089.93,3857843133.48,,,,3224531.84,72394753.86,31433674.64,,569731822.59,,,,,,,,,,,,,,,,,4427574956.07,,,,,,9847014029.94,9847014029.94,14274588986.01,,2502600.48,,,,,,,,,,,,214522995.71,2459698198.42,2957283327.13,50428921.98,2766374301.07,910239527.97,228233463.3,365957019.78,,,0
000534.SZ,20221015,20221015,20220930,1,1,3,500623096.0,94071350.43,644130289.05,,,164177945.44,,11535131.58,247461479.88,,18477382.4,,,128683745.13,,,,,,,,,11916147.49,611263227.36,,,9527587.54,38877487.28,,,1182358.38,,305434847.48,,,,,233430539.65,75308814.92,,12441526.51,10187250.24,,258562658.39,1696177738.07,,,,,,,,,,,,,,,,,2307440965.43,358544244.66,185856486.11,,,,,,200847281.83,,,,16242681.17,21819794.38,,304961.0,,,,,,,,,42362269.66,14324738.81,572157721.39,,,,,14437346.17,138370392.74,,512374340.27,,,,,,,,,,,,,,,,,1084532061.66,58534935.0,,,,42619103.29,1180289800.48,1222908903.77,2307440965.43,,,,,,,,,,,,,,4162548.2,258996611.46,200847281.83,17307647.03,640391923.56,305434847.48,86541921.23,,,,0
000567.SZ,20221018,20221018,20220930,1,1,3,929651442.0,3064166887.58,936578827.84,67672962.95,,130259882.58,246382547.64,,,,91508324.09,,,,,,,,,,,2202923.89,1212391921.49,1703780565.97,,,,144361762.33,,,,5326663.75,,,,,,102384.76,,,,6221009.56,,149031333.16,5620235424.84,,,,,,,,,,,,,,,,,7324015990.81,575500000.0,869000000.0,,,,,,20000000.0,,,,18166375.15,37498897.92,3486104.25,,,,,,,,,,789038639.91,,1749771897.56,,,,,673972.88,,,576173972.88,,,,,,,,,,,,,,,,,2325945870.44,,,,,,4998070120.37,4998070120.37,7324015990.81,,,,,,,,,,,,,,,,20000000.0,21034966.28,5326663.75,,16067984.58,,5315192271.28,,0
000878.SZ,20221018,20221018,20220930,1,1,3,1699678560.0,5851579216.64,2245552991.97,519817897.26,134277104.05,5521504804.97,146788020.77,,229741392.55,,4585207321.35,,,10350575355.77,,,,,,,,,1620889829.82,23153033031.2,,,1025411413.39,,,,,,,,,,,1452254506.29,7977617.54,,402097379.4,334552041.93,,105151771.12,17565772801.87,,,,169355377.81,,,,,,,,,,,,,40718805833.07,9173501939.0,6253123747.31,,,,15410368.0,753612373.33,3390745050.15,,,,438467854.7,430396807.3,,,,,,,,,,,3423144806.7,92821496.98,16067454902.74,,,,240514502.52,6775310.16,11000259.74,,9588061346.61,,,,,,,,,,,,,,,,,25655516249.35,,,,,4592801995.49,10470487588.23,15063289583.72,40718805833.07,10168128.96,19581818.31,,,,,,,,,,,,747340604.25,229741392.55,4144357423.48,519970928.16,13812875380.0,340812770.2,522391794.02,96950731.57,,,0
000902.SZ,20221018,20221018,20220930,1,1,3,1304529290.0,132277417.26,6780393784.7,431661312.07,152640090.6,1771818792.79,215000000.0,,403247665.8,,265854651.83,,,3675879566.62,,,,,,,,,307137179.15,6887158602.63,,,22036377.06,,,,,6418063357.26,,,,146445.59,,1174264941.99,,,33353104.29,84392475.09,,387652196.51,8933559971.4,,,,,,,,,,,,,,,,,15820718574.03,200000000.0,1412174.26,,,,,491876000.0,1725336905.3,,,,192204664.97,119391127.48,2499992.99,12000000.0,767649516.46,,,,,,,,85095.35,184379919.95,5545501173.96,955274381.16,,,,41410270.05,273444314.33,,1470158892.51,,,,,,,,,,,,,,,,,7015660066.47,477696640.18,,,,350826330.84,8454232176.72,8805058507.56,15820718574.03,,10731281.01,91327921.26,,,,,,55253312.77,,,,,2048665777.2,403247665.8,2217212905.3,130326011.14,6418063357.26,595631525.72,782149509.45,29926.97,,,0
000933.SZ,20221018,20221018,20220930,1,1,3,2250986609.0,2804957558.54,8388876622.32,810136001.74,241162969.37,9408281109.64,,,671638097.85,,1067324248.43,348360320.67,,2846364315.2,,42900000.0,,,,,,,128038078.91,14816736246.71,,,3569337542.18,122465144.84,,,20800631.56,,,,,,,4743371985.49,18041138.09,,903208775.75,872266193.77,,2803628698.43,36794064080.95,,,,,,,,,,,,,,,,,51610800327.66,3384671818.62,15032770218.23,,,,,1537275000.0,3208504571.84,375000.0,,,917903413.6,635934325.83,,82508250.82,,,,,,,,,2087907286.78,126214177.06,27342469866.47,,,,568202129.9,255299307.89,176861927.54,,4403952361.82,,,,,,,,,,,,,,,,,31746422228.29,86494864.0,,,,5405450080.42,14458928018.95,19864378099.37,51610800327.66,,49303121.98,,,,,,,,,,,,1013294120.76,671638097.85,4745779571.84,468898392.74,20962299696.77,975279108.11,2782291752.37,,,,0
000983.SZ,20221018,20221018,20220930,1,1,3,4096560000.0,344767205.84,21915709591.05,367288738.62,1376655462.68,8278598979.47,3626.56,197420000.0,2261808827.35,,312589402.69,,,2866564257.8,,,,,,,,,678230109.71,17337328376.93,,,3803809743.92,211414134.94,,,27000000.0,32236792066.82,,,,,,11997320225.09,,592980585.78,85099695.38,494860756.93,,132765124.57,53185649478.84,,,,,,,,,,,,,,,,,70522977855.77,8063267470.87,1025600000.0,,,,,1288581755.71,10200699262.27,,,,1120657020.87,1546278113.91,,127971791.89,,,,,,,,,1282552724.34,224876019.11,19864902538.46,1998703878.62,,,1902345266.55,99711515.47,294120217.24,,18491934097.81,,,,,,,,,,,,,,,,,38356836636.27,,,,,4055578658.48,28110562561.02,32166141219.5,70522977855.77,,9581562.83,,,,,,,,,,,,1745242772.8,2459228827.35,11489281017.98,296191989.51,32236792066.82,3046896173.58,1430414869.45,5851959062.16,,,0
002056.SZ,20221018,20221018,20220930,1,1,3,1626712074.0,,5238042269.94,597367351.82,,4622397270.55,521419163.5,61766859.08,2219398303.79,,150326048.93,,,2598117797.57,,,,,,,,,32704531.48,11115965811.65,,,62822951.93,57800175.78,,,,,,,,,,450476989.94,,1.0,,20651287.74,,47501034.65,5112681086.88,,,,,,,,,,,,,,,,,16228646898.53,,1577061551.6,,,,,2676895059.82,3199341351.6,491022.95,,,330928438.61,90619989.57,,,,,,,,,,,1791917.86,31397627.33,8715161592.49,,,,108877245.13,28314590.41,29549000.0,,180130951.33,,,,,,,,,,,,,,,,,8895292543.82,180002021.43,,,,21089442.23,7312264912.48,7333354354.71,16228646898.53,,30145238.15,,,,,,,,,,,,243668283.69,2281165162.87,5876236411.42,127798268.88,3619899475.68,731965143.46,562966349.46,8685878.23,,,0
002124.SZ,20221018,20221018,20220930,1,1,3,1839192626.0,3361667787.32,-1073753373.96,304387974.27,,1066858012.06,,,48689060.43,,18595008.83,,,2528521854.84,,,,,,,,,97333484.25,4334900049.87,,,1199564879.61,87458343.6,,,,7389933151.76,1297159671.82,,,1155724296.01,,43444303.76,,349768218.63,92625543.17,963469.77,,6702598.16,14794773626.1,,,,,,,,,,,,,,,,,19129673675.97,888499662.26,2556262450.72,,,,,179976126.59,2079843546.27,,,,191351920.39,6986131.03,,,,,,,,,,,1470350520.02,196628663.3,10655466327.49,,,,,,91485504.24,,3969076883.26,,,,,,,,,,,,,,,,,14624543210.75,,,,,76558994.47,4428571470.75,4505130465.22,19129673675.97,,-2923542.88,,,,,,,,,,,,44253620.2,48689060.43,2259819672.86,574902629.46,7389933151.76,1297159671.82,3929813348.97,358900023.56,,,0
