ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales,cost_fin_assets,fair_value_fin_assets,contract_assets,contract_liab,accounts_receiv_bill,accounts_pay,oth_rcv_total,fix_assets_total,cip_total,oth_pay_total,long_pay_total,debt_invest,oth_debt_invest,update_flag
000838.SZ,20220718,20220718,20220630,1,1,2,1100462170.0,248486715.06,-356021250.86,41308189.57,0.0,1559605390.94,,,51202405.43,1242289197.82,14355189.36,0.0,0.0,8590488648.17,,0.0,,,,,,,816398110.39,12288817440.21,,,1761298.17,30526701.59,,,48431130.18,145512296.71,7555937.1,,,,,101682295.58,0.0,0.0,1969723.1,368042771.71,,0.0,705482154.14,,,,,,,,,,,,,,,,,12994299594.35,670650000.0,243271506.85,,,,,253394930.89,1797767860.26,35386213.48,,,11079932.19,217895112.19,0.0,0.0,382272028.95,,,,,,,,390577367.01,532078468.54,10479419155.2,0.0,,,0.0,95432669.06,64850491.2,0.0,830933160.26,,,,,,,,,,,,,,,,,11310352315.46,,,,,649710373.31,1034236905.58,1683947278.89,12994299594.35,0.0,1081.81,0.0,0.0,,,,,0.0,0.0,,,14478498.1,6615695734.84,51202405.43,2051162791.15,1242289197.82,145512296.71,7555937.1,382272028.95,0.0,,,0
688768.SH,20220725,20220725,20220630,1,1,2,54865491.0,324937024.73,263713154.11,20711159.42,,217492552.0,81244657.53,39730769.65,275948680.0,2111424.09,4615144.47,,,64335161.63,,5214777.11,,,,,,,593737.41,714582163.57,,,,,,,11850496.45,46241646.52,13761738.88,,,,,9325034.62,,,,8070426.1,,24684723.28,115534091.64,,,,,,,,,,,,,,,,,830116255.21,,10006136.99,,,,,31963301.93,68672558.9,,,,21076410.65,15312747.93,,,3706611.61,,,,,,,,741879.31,186659.65,163938329.92,,,,,,1123703.45,,2029850.28,,,,,,,,,,,,,,,,,165968180.2,,,,,,664148075.01,664148075.01,830116255.21,,-78754.25,,,,,,,,,,,20288802.65,12272022.95,315679449.65,100635860.83,2111424.09,46241646.52,13761738.88,3706611.61,,,,0
000033.SZ,20220729,20220729,20220630,1,1,2,429720035.0,139113611.54,-605460461.4,9816549.88,,12985676.0,,,3971274.68,64198771.51,197086.33,,,3908333.34,,,,,,,,,77491.11,85338632.97,,,,,,,,806869.1,,,,,,,,,,,,,56707575.55,,,,,,,,,,,,,,,,,142046208.52,,,,,,,,3706859.46,538293.08,,,1186650.36,7112386.56,,,66845770.97,,,,,,,,,,79389960.43,,,,89486649.57,,,,89486649.57,,,,,,,,,,,,,,,,,168876610.0,,,,,-20136.5,-26810264.98,-26830401.48,142046208.52,,,,,,,,,,,,,,,3971274.68,3706859.46,64198771.51,806869.1,,66845770.97,,,,0
000408.SZ,20220726,20220726,20220630,1,1,2,1580435073.0,1948611822.65,8236724928.06,400000000.0,81600451.13,3945365643.68,54577865.0,,679497.76,50153589.94,85858710.71,,,451144966.86,,,,,,,,,8595955.51,5044733281.26,,,2910894237.16,1429097.06,,,,3039438157.07,18401390.61,31968628.43,31709824.55,,,369799590.97,,,27741133.74,50642090.47,,1568181363.28,8237761227.79,,,,,,,,,,,,,,,,,13282494509.05,,,,,,,,182071096.55,,,,12960468.79,436960340.11,0.0,40761.09,177118669.45,,,,,,,,3332369.09,43285364.29,1250699717.5,,,,693995.06,11011265.75,9063085.37,,31970857.27,,,,,,,,,,,,,,,,,1282670574.77,226107090.56,,,,,11999823934.28,11999823934.28,13282494509.05,,-21441250.0,,,,,,,,,,,,394930648.13,679497.76,182071096.55,50153589.94,3071147981.62,50370019.04,177159430.54,,,,0
000504.SZ,20220730,20220730,20220630,1,1,2,311573901.0,160991257.64,-488303574.75,34545734.18,,160050978.53,4224659.74,,194983489.94,4261176.74,42281934.37,,,10711776.81,,,,,,,,,3082793.59,421394788.76,,,5879727.79,,,,,17447348.42,2801651.19,,,,,300408.63,,8441122.41,85241510.41,1105875.34,,2328024.57,140865344.35,,,,,,,,,,,,,,,,,562260133.11,,43051501.82,,,,,,91924253.78,,,,4042546.88,4666320.99,0.0,931102.81,164310161.69,,,,,,,,2732904.0,9989875.82,430191289.89,,1000000.0,0.0,,524065.73,1315149.0,,17872855.11,,,,,,,,,,,,,,,,,448064145.0,,,,,95388670.04,18807318.07,114195988.11,562260133.11,,,,,,,,,,,,,1797979.04,108542622.1,194983489.94,91924253.78,4261176.74,17447348.42,2801651.19,165241264.5,1000000.0,,,0
000534.SZ,20220726,20220726,20220630,1,1,2,500623096.0,78550858.48,623088358.56,,,310951206.87,,14441906.52,207972861.13,15549770.18,15984822.23,,,128777525.77,,,,,,,,,34399010.74,745210307.19,,,9460034.41,39260545.65,,,1219047.06,608512533.46,291926351.69,,,,,236845844.53,57944923.38,,13493272.85,12638809.84,,240028134.97,1624056738.54,,,,,,,,,,,,,,,,,2369267045.73,349968890.39,205474510.55,,,,,,198614002.51,,,,15751672.31,20493279.81,0.0,25190360.8,144403279.17,,,,,,,,51178598.38,16265662.58,678765340.94,,,,,14437346.17,144394483.29,,517422065.03,,,,,,,,,,,,,,,,,1196187405.97,58534935.0,,,,29352261.72,1143727378.04,1173079639.76,2369267045.73,,,,,,,,,,,,,,1393974.83,222414767.65,198614002.51,15549770.18,608512533.46,291926351.69,169593639.97,,,,0
000663.SZ,20220730,20220730,20220630,1,1,2,336683929.0,1608759095.91,-954059518.66,16991234.63,,347755916.33,,,13189606.88,3228572.79,3497518.11,,,525345923.63,,,,,,,,,7035.78,910046156.71,,,38980118.07,12764229.63,,,,159057823.62,1330756.94,,,2819520.65,,36603385.46,,,1296528.36,,,37964213.8,321084635.83,,,,,,,,,,,,,,,,,1231130792.54,,114063200.0,,,,,,23373325.57,,,,10493529.67,6272346.43,0.0,171446.0,42593025.83,,,,,,,,8466.21,515091.32,227498443.58,,1149418.01,0.0,,2305570.13,3042888.26,,6924256.45,,,,,,,,,,,,,,,,,234422700.03,,,,,29622146.99,967085945.52,996708092.51,1231130792.54,,-41288795.36,,,,,,,,,,,,30008012.55,13189606.88,23373325.57,3228572.79,159057823.62,1330756.94,42764471.83,1149418.01,,,0
000670.SZ,20220728,20220728,20220630,1,1,2,816627360.0,365242743.17,-605627296.21,,,56482934.97,,11615848.9,734746012.15,2295885.08,8261135.97,,,202837495.75,,,,,,,,,10923358.44,1029580171.76,,,,,,,,4110689.44,,,,,,1728845.03,,454564147.76,972219.63,1314363.09,,,467472020.49,,,,,,,,,,,,,,,,,1497052192.25,,291196812.53,,,,,21215250.0,120100278.28,,,,2882711.26,17883657.58,,27300000.0,722151751.75,,,,,,,,4135352.87,10076.37,1207779881.07,,,,154605.71,,,,4748361.77,,,,,,,,,,,,,,,,,1212528242.84,,,,,229693173.11,54830776.3,284523949.41,1497052192.25,3463451.4,5124893.74,,,,,,,,,,,,903990.43,746361861.05,141315528.28,2295885.08,4110689.44,,749451751.75,,,,0
000739.SZ,20220728,20220728,20220630,1,1,2,1178523492.0,438005920.01,3341226133.89,202926899.63,,2672534937.85,,25636296.25,1806101940.22,28152117.57,364337962.07,,,1387832584.2,,,,,,,,,91974611.6,6669575502.83,,,82753188.53,,,,,1898755669.82,1015112720.67,1560814.62,,,,363857739.41,39806574.01,20310091.31,21147932.82,58238882.29,,127264771.63,3663639281.63,,,,,,,,,,,,,,,,,10333214784.46,305113533.33,530526584.02,,,,32601802.13,2180781754.82,1436921212.21,,,,130635003.66,88064045.93,,,153694645.07,,,,,,,,10444612.39,5219639.55,4802954009.59,0.0,72000000.0,0.0,0.0,493384.83,139057422.39,,537843053.44,,,,,,,,,,,,,,,,,5340797063.03,168165759.52,,,,,4992417721.43,4992417721.43,10333214784.46,,-98964.58,,,,,,,,,,,,234064709.81,1831738236.47,3617702967.03,28152117.57,1898755669.82,1016673535.29,153694645.07,72000000.0,,,0
000829.SZ,20220730,20220730,20220630,1,1,2,1025100438.0,344951462.63,1114466008.38,160776059.86,,7907735153.47,,,1647683328.32,342891409.62,2773072378.04,170000000.0,0.0,4075849451.09,,,,,,,,,214238103.73,17131469824.27,,,453797381.12,150653649.29,,,0.0,84569601.57,1031014449.99,,,,,1247507525.83,0.0,907869438.06,8268451.18,39375381.31,,1000000.0,4930636530.16,,,,,,,,,,,,,,,,,22062106354.43,766348699.96,7103207366.0,,,,,8460797183.86,766079478.31,,,,24666171.39,59175850.62,27924109.36,0.0,334491913.34,,,,,,,,38078807.56,72897796.4,17635288856.27,973024815.13,,,,,22777.58,,1781041250.15,,,,,,,,,,,,,,,,,19416330106.42,,,,,36143806.39,2609632441.62,2645776248.01,22062106354.43,,-35661527.25,,,,,,,,,,,,747970179.43,1647683328.32,9226876662.17,512891409.62,84569601.57,1031014449.99,362416022.7,,20772012.97,60000000.0,0
