ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales,cost_fin_assets,fair_value_fin_assets,contract_assets,contract_liab,accounts_receiv_bill,accounts_pay,oth_rcv_total,fix_assets_total,cip_total,oth_pay_total,long_pay_total,debt_invest,oth_debt_invest,update_flag
300960.SZ,20210310,20210310,20190630,1,1,2,76785812.0,79034694.08,62854211.72,36795382.38,,75594811.15,,7587444.0,197850267.97,,598414.16,,,122761033.09,,1980000.0,,,,,,,49446559.7,497344115.38,,,,8291152.43,,,,27833249.56,3383017.36,,,,,6907110.17,,,942255.72,4971647.61,,970713.71,53299146.56,,,,,,,,,,,,,,,,,550643261.94,,20750000.0,,,,,23172852.57,130116618.65,1316040.46,,,4984951.03,10938921.79,,20759254.17,2740886.26,,,,,,,,,48965930.19,263745455.12,,,,23796398.24,1111913.08,5918723.03,,30827034.35,,,,,,,,,,,,,,,,,294572489.47,,,,,,256070772.47,256070772.47,550643261.94,,600672.29,,,,,,,,,,,,,205437711.97,153289471.22,4150522.0,27833249.56,3383017.36,23500140.43,,,,1
301081.SZ,20200103,20200103,20190630,1,1,2,128000000.0,134636441.52,39459976.44,14083422.39,,109751854.68,,5216151.12,141854054.96,,1857956.79,,,101186873.73,,,,,,,,,12002.78,367691315.35,,,,,,,1207872.33,98109474.39,22387956.35,,,,,25991971.45,,,,3616270.55,,17058749.0,168372294.07,,,,,,,,,,,,,,,,,536063609.42,,130000000.0,,,,,10940195.88,24598611.35,5793797.16,,,4906445.88,2705604.48,162800.0,22000000.0,451400.0,,,,,,,,,,201558777.02,,,,17199986.13,,2404399.16,,19604385.29,,,,,,,,,,,,,,,,,221163162.31,,,,,,314900447.11,314900447.11,536063609.42,,-1279393.24,,,,,,,,,,,,,147070206.08,35538807.23,6756596.79,98109474.39,22387956.35,22614122.27,,,,1
605589.SH,20200103,20200103,20190630,1,1,2,693716800.0,813714964.39,2822102474.55,210449809.68,26506087.52,630098997.78,,69230962.76,1172101806.05,35288045.84,134004113.81,,6337949.77,766729435.63,,,,,,,,,737272789.78,4300232178.22,,,44973624.3,18596990.96,,,,1973767300.74,189622952.85,,,,,358077630.31,,,8448479.9,101409451.81,,105345309.98,2850257137.27,,,,,,,,,,,,,,,,,7150489315.49,440487947.77,725202356.67,,,,,131093785.33,270374392.1,50923206.26,,,50087985.83,52529768.07,8908572.25,9073691.44,71298104.2,,,,,,,,264965899.37,,1634457761.52,100000000.0,,,,26385336.11,172143378.34,,860896662.22,,,,,,,,,,,,,,,,,2495354423.74,,,,,92396816.14,4562738075.61,4655134891.75,7150489315.49,,-3752060.53,,,,,,,,,,,,,1241332768.81,401468177.43,41625995.61,1973767300.74,189622952.85,89280367.89,121880000.0,,,1
301024.SZ,20200103,20200103,20190630,1,1,2,31790000.0,95911971.11,66926068.25,14231535.05,,67493392.1,1006004.84,,141998986.93,7998474.92,3378335.24,,,,,,,,,,,,,221875194.03,,,,,,,,4263120.68,,,,,,901543.24,,,8066254.2,1256886.01,,1066382.73,16375786.86,,,,,,,,,,,,,,,,,238250980.89,,,,,,,,4264702.35,3984635.48,,,8256919.17,12362916.25,,,,,,,,,,,,,29391406.48,,,,,,,,,,,,,,,,,,,,,,,,,29391406.48,,,,,,208859574.41,208859574.41,238250980.89,,,,,,,,,,,,,,,141998986.93,4264702.35,7998474.92,4263120.68,,522233.23,,,,1
605180.SH,20200114,20200114,20190630,1,1,2,75000000.0,179636862.47,86330942.68,8317578.95,,110111455.05,,,78483352.18,,4272812.16,,,68138922.01,,,,,,,,,,261306620.7,,,,2773315.24,,,,78115593.65,,,,,,15083228.81,,,294684.54,944159.07,,4500000.0,105998407.0,,,,,,,,,,,,,,,,,367305027.7,,1000000.0,,,,,,6915294.94,1026019.35,,,4277575.18,2670764.56,1200.0,,2128800.0,,,,,,,,,,18019643.6,,,,,,,,,,,,,,,,,,,,,,,,,18019643.6,,,,,,349285384.1,349285384.1,367305027.7,,,,,,,,,,,,,,,78483352.18,6915294.94,300079.3,78115593.65,4287425.69,2129989.57,,,,1
600032.SH,20200103,20200103,20190630,1,1,2,1872000000.0,3581991200.0,572479500.0,9171700.0,,1657414400.0,,46508100.0,1712376400.0,28640400.0,11268300.0,4585800.0,211500.0,4016200.0,,,,,,,,,174069000.0,3639090100.0,,,1641300600.0,35298300.0,,,,10626147800.0,290687100.0,,,,,190909000.0,,86555400.0,11125100.0,35198300.0,,1179841500.0,14097063100.0,,,,,,,,,,,,,,,,,17736153200.0,6939982100.0,502000000.0,,,,,,287912300.0,2788400.0,,,43645200.0,125027300.0,12224300.0,89542900.0,257041600.0,,,,,,,,428805300.0,,1748987300.0,,,,,45190700.0,42854100.0,,7741631900.0,,,,,,,,,,,,,,,,,9490619200.0,,,,,2209756700.0,6035777300.0,8245534000.0,17736153200.0,,135000.0,,,,,,,,,,,,,1758884500.0,287912300.0,33437700.0,10626147800.0,290687100.0,358808800.0,713605000.0,,,1
605089.SH,20200103,20200103,20190630,1,1,2,75000000.0,28884778.07,103348903.37,10924691.98,,193354595.53,,,279819.29,,8828173.03,,,31623616.68,,,,,,,,,93377.13,234576657.98,,,,,,,,11531430.92,36206.9,,,,,766891.27,,,1536153.88,13025.53,,311320.74,14195029.24,,,,,,,,,,,,,,,,,248771687.22,,,,,,,,13459644.36,3727604.18,,,4827787.72,2284456.77,,,5325720.95,,,,,,,,,988099.82,30613313.8,,,,,,,,,,,,,,,,,,,,,,,,,30613313.8,,,,,,218158373.42,218158373.42,248771687.22,,,,,,,,,,,,,,,279819.29,13459644.36,397076.32,11531430.92,36206.9,5325720.95,,,,1
300970.SZ,20200103,20200103,20190630,1,1,2,43760000.0,317741488.69,301339607.41,13471977.07,,58623673.45,30013150.68,,15758954.41,,1542920.99,,,60640662.55,,,,,,,,,7655654.48,174321508.95,,,,,,,,660339146.87,,,,,,46979255.27,,,54748.14,,,15912601.99,728109194.48,,,,,,,,,,,,,,,,,902430703.43,92481272.51,,,,,,1000000.0,20733980.15,3180521.47,,,7930482.25,185010.33,699438.15,10064800.0,44602108.85,,,,,,,,5000000.0,,93396341.2,,,,,,39741672.2,,132222944.71,,,,,,,,,,,,,,,,,225619285.91,,,,,498344.35,676313073.17,676811417.52,902430703.43,,,,,,,,,,,,,,,15758954.41,21733980.15,86492.39,660339146.87,4823442.21,55366347.0,,,,1
300965.SZ,20200103,20200103,20190630,1,1,2,45000000.0,161658200.0,53660300.0,1529400.0,9869000.0,10578800.0,25386200.0,56794800.0,276788500.0,,1189200.0,,,31006700.0,,,,,,,,,328000.0,402315600.0,,,,,,,,20624000.0,,,,,,834500.0,,,644000.0,7140100.0,,44500.0,29287100.0,,,,,,,,,,,,,,,,,431602700.0,,,,,,,28561900.0,61605300.0,674700.0,,,1037900.0,6191400.0,,,,,,,,,,,,,159827900.0,,,,,57900.0,,,57900.0,,,,,,,,,,,,,,,,,159885800.0,,,,,,271716900.0,271716900.0,431602700.0,,,,,,,,,,,,,,,333583300.0,90167200.0,243600.0,20624000.0,,61756700.0,,,,1
300961.SZ,20200103,20200103,20190630,1,1,2,132955520.0,258939684.15,147547238.76,9248402.88,,144064816.07,,,131788639.5,,2040792.74,,,25428364.74,,,,,,,,,15236103.4,332240117.77,,,,,,,,158083369.21,310471951.33,,,,,236794189.03,,,411543.61,12661500.46,,5198043.24,723620596.88,,,,,,,,,,,,,,,,,1055860714.65,65200000.0,67800000.0,,,,,53162837.57,178461971.42,43058343.69,,,4581016.68,18444824.46,225900.0,1855200.0,15757900.0,,,,,,,,5000000.0,6060902.73,394408808.03,,,,4862433.68,5240930.42,37373870.66,,112677234.76,,,,,,,,,,,,,,,,,507086042.79,,,,,83826.07,548690845.79,548774671.86,1055860714.65,,,,,,,,,,,,,,,131788639.5,231624808.99,13681401.32,158083369.21,310471951.33,17838911.48,,,,1
