ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales,cost_fin_assets,fair_value_fin_assets,contract_assets,contract_liab,accounts_receiv_bill,accounts_pay,oth_rcv_total,fix_assets_total,cip_total,oth_pay_total,long_pay_total,debt_invest,oth_debt_invest,update_flag
600520.SH,20191030,20191030,20190930,1,1,3,158430000.0,379507365.47,-141474815.99,12151253.08,,243089834.52,,15882599.14,91084807.56,,,,,104856150.47,,,,,,,,,5454076.31,470843323.67,,,,,,,70000000.0,381739366.7,1997084.22,,,,,42434231.44,,,524253.9,167090.89,,,496862027.15,,,,,,,,,,,,,,,,,967705350.82,,30000000.0,,,,,330000000.0,101445469.02,27239577.59,,,514203.6,2134626.25,,45000.0,,,,,,,,,,,495634249.04,,,,,,,8450918.18,8450918.18,,,,,,,,,,,,,,,,,504085167.22,,,,,55006381.04,408613802.56,463620183.6,967705350.82,,,,,,,,,,,,,,,106967406.7,431445469.02,4538259.22,381739366.7,1997084.22,4300372.58,,,,1
600593.SH,20191030,20191030,20190930,1,1,3,128800000.0,173207229.95,243384911.61,36083866.19,,195764367.93,,,2745581.97,,48903180.73,,,2479855.46,,,,,,,,,57922078.54,392339581.17,,,51212050.62,43874290.08,,,9000492.37,178549823.64,,,,32745910.48,,576559702.8,,,49398899.32,9256099.71,,,1720424708.14,,,,,,,,,,,,,,,,,2112764289.31,249915911.32,171700000.0,,,,,,2309329.14,15288625.76,,,9931318.61,27907014.52,1993189.0,4136920.63,374061341.8,,,,,,,,58911666.31,2464979.47,668704385.24,,,,,84140750.77,2569138.69,,337369295.97,,,,,,,,,,,,,,,,,1006073681.21,,,,,525214600.35,581476007.75,1106690608.1,2112764289.31,,,,,,,,,,,,,,,2745581.97,2309329.14,84524516.54,178549823.64,751227439.12,380191451.43,743495.19,,,1
002670.SZ,20191030,20191030,20190930,1,1,3,1935084653.0,8861826994.03,764089117.55,44253651.01,,7992240053.73,11150095034.27,,400538236.95,,52949942.91,,,,,80202660.0,989604254.02,,,,,4384208152.7,66406879.49,29402611129.58,,,123375093.4,,,,,106681606.29,,,,,,44057802.54,,3079932644.55,54163152.91,107259712.39,,167714628.4,4697435797.96,,,,292830.0,,,,,,,,,,,,,34100046927.54,,,,,2375444999.96,,,127918497.84,10801885.74,4863487000.0,,71204052.04,2325609.99,,,,,,2143473642.47,,,6848089217.24,,3226522953.6,4987089.71,19937889582.75,2552777255.97,,,,3214942.7,11930958.92,,2567923157.59,,2312036.75,,,,,,,,,,,,,,,22505812740.34,,,,,2775185.25,11591459001.95,11594234187.2,34100046927.54,,-13795413.64,,,,,,,,,,,,,400538236.95,127918497.84,103735138.17,106681606.29,,261322597.41,,,284543991.18,1
300619.SZ,20191030,20191030,20190930,1,1,3,74680000.0,188259288.56,197691944.14,29357135.57,322027.2,127493373.05,,41467500.0,376818131.47,,9139439.25,,,94328474.79,,,,,,,,,54340229.96,714121220.11,,,,,,,,187846199.22,188141197.12,,,,,46442261.85,,,4068817.17,9228924.47,,1295700.88,437023100.71,,,,,,,,,,,,,,,,,1151144320.82,136000000.0,170400000.0,,,,,94778840.97,93466006.43,42503858.88,,,7491734.77,11419535.58,400322.92,,,,,,,,,,40000000.0,,463950488.57,,,,3936989.6,823732.7,22934776.25,,197008628.49,,,,,,,,,,,,,,,,,660959117.06,,,,,-125191.71,490310395.47,490185203.76,1151144320.82,,,,,,,,,,,,,,,418285631.47,188244847.4,10534071.59,187846199.22,188141197.12,3890511.94,33313129.94,,,1
002045.SZ,20191030,20191030,20190930,1,1,3,468383913.0,827558136.0,471923556.0,152894837.0,,455682968.0,196000000.0,0.0,1458154439.0,,72806031.0,,,485093982.0,,26700907.0,,,,,,,74623834.0,2993174081.0,0.0,,386435409.0,127123372.0,,,2347953.0,650851188.0,,,,,,203701459.0,,,5965806.0,57339007.0,,0.0,1604028767.0,,,,,,,,,,,,,,,,,4597202848.0,393986342.0,455396464.0,,,,36294921.0,201831608.0,1117142221.0,34791365.0,,,36881366.0,22275679.0,2270134.0,,,,,,,,,,250332248.0,0.0,2235869979.0,,,,2068917.0,0.0,30448239.0,,426503498.0,,,,,,,,,,,,,,,,,2662373477.0,,,,,1488183.0,1933341188.0,1934829371.0,4597202848.0,,12580746.0,,,,,,,,,,,,,1458154439.0,1318973829.0,224111920.0,650851188.0,63611650.0,80924107.0,,,,1
002249.SZ,20191030,20191030,20190930,1,1,3,2365530164.0,5256912979.35,-1367679055.08,268391236.95,,1253317418.28,57903670.14,1442051745.01,2697626830.77,,386748639.75,,,1913923198.34,,,,,,,,,279260182.97,8212523342.25,,,131511723.48,123662533.24,,,256251873.96,2206556569.13,236401949.96,,,,,754116576.75,,1120897756.73,53113427.92,188599201.22,,102519881.21,6032380363.8,,,,,,,,,,,,,,,,,14244903706.05,1591999407.07,161906411.15,,,,44259801.28,1612985444.33,2136872690.79,110732980.96,,,226556911.77,46357582.84,2120144.5,1200000.0,370256019.6,,,,,,,,15025000.0,,4728272987.22,,,,266160173.78,38999358.65,487168290.95,,2385212202.8,,,,,,,,,,,,,,,,,7113485190.02,,,,,159052585.39,6972365930.64,7131418516.03,14244903706.05,,449210605.42,,,,,,,,,,,,,4139678575.78,3749858135.12,181691656.99,2206556569.13,236401949.96,373576164.1,884972.35,,,1
603993.SH,20191030,20191030,20190930,1,1,3,21599240583.0,27582794983.23,7550342455.6,1160396190.21,2468453.08,15475704577.4,8275241619.58,,819379187.26,,5533281421.99,,205898267.73,20476519687.34,,,,,,,,,3746899246.79,58584864044.7,,,1216153673.77,,,,,24104405718.4,2433011849.55,,,,,21025342219.47,,647140455.82,119052249.97,856051622.52,,2267064490.73,63969616259.21,,,,2659208187.97,,,,,,,,,,,,,122554480303.91,17417525438.53,20091514788.08,,,,1797742778.94,167211063.76,6162882323.29,,,,582069908.71,713358740.79,272406478.93,27885796.67,1777988123.48,,,,,,,,3508564479.72,2132450224.55,41241726087.82,4121870000.0,,,2113101679.12,7789069974.4,69779552.54,73205862.25,32266325322.07,,3310543828.4,,,,,,,,,,,,,,,73508051409.89,,,,,8834203254.1,40212225639.92,49046428894.02,122554480303.91,293753948.49,-403624558.8,,,,,,,,,,,,697107552.5,819379187.26,6330093387.05,1093037560.53,24104405718.4,2433011849.55,2078280399.08,8347231.68,,,1
603555.SH,20191030,20191030,20190930,1,1,3,628602143.0,919373875.16,-398882735.21,209404425.96,,15289134.61,,,1421459649.71,,270106670.57,,,564275205.19,,,,,,,,,30876247.25,2522645833.72,,,124410965.66,,,,,501723750.62,436482006.45,,,,,221156476.83,,220560876.22,10115502.34,942141.7,,23304832.68,2361359759.24,,,,,,,,,,,,,,,,,4884005592.96,27000000.0,1176840000.0,,,,,1120000.0,581743994.19,13003897.51,,,32172560.37,17108910.32,62165032.47,,,,,,,,,,1301589285.15,,3304172461.3,,,,,,10479996.64,,37479996.64,,,,,,,,,,,,,,,,,3341652457.94,,,,,9542967.77,1532810167.25,1542353135.02,4884005592.96,,174312458.34,,,,,,,180060000.0,,,,,,1421459649.71,582863994.19,40578926.39,501723750.62,436482006.45,180593813.76,,,,1
600539.SH,20191030,20191030,20190930,1,1,3,230000000.0,546357838.12,-376855771.7,37406629.52,,324051644.1,60000000.0,5636886.8,16629970.97,,446879.02,,1162561.66,16171663.96,,,,,,,,,1018723.2,425179986.44,,,,,,,4543811.21,12819956.04,,,,,,,,24818675.92,1076344.48,1761510.19,,,45020297.84,,,,,,,,,,,,,,,,,470200284.28,,,,,,,,10818603.24,610857.67,,,2194362.33,603370.1,,,,,,,,,,,,,16163616.53,,,,,4726991.42,,,4726991.42,,,,,,,,,,,,,,,,,20890607.95,,,,,12400980.39,436908695.94,449309676.33,470200284.28,,,,,,,,,,,,,,,22266857.77,10818603.24,1224218.39,12819956.04,,1936423.19,,,,1
603881.SH,20191030,20191030,20190930,1,1,3,210586508.0,366340615.18,479588804.23,24525571.99,,217343423.42,,,223980929.47,,24963861.3,,,23136044.62,,,,,,,,,944167.61,499240189.83,,,,,,,13721572.55,1151617628.33,1128527664.69,,,,,9432243.7,,16203428.94,7003934.59,,,467645707.39,2794152180.19,,,,,,,,,,,,,,,,,3293392370.02,623380257.56,598347707.51,,,,,,268780268.42,6080010.8,,,6954806.64,6011035.19,,,,,,,,,,,416922889.97,,1309001141.42,,,,,2347402.58,134720882.61,,898341586.76,,,,,,,,,,,,,,,,,2207342728.18,,,,,5008142.44,1081041499.4,1086049641.84,3293392370.02,,,,,,,,,,,,,,,223980929.47,268780268.42,8871763.41,1151617628.33,1128527664.69,5904422.89,137893044.01,,,1
