ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales,cost_fin_assets,fair_value_fin_assets,contract_assets,contract_liab,accounts_receiv_bill,accounts_pay,oth_rcv_total,fix_assets_total,cip_total,oth_pay_total,long_pay_total,debt_invest,oth_debt_invest,update_flag
301093.SZ,20210930,20210930,20210630,1,1,2,101000000.0,68300602.84,284464899.66,50500000.0,,70930000.11,,81954.6,213433286.07,,23640258.72,,,128353115.42,,,,,,,,,144819.11,525329822.56,,,,,,,,189690640.38,26175076.55,,,,,21332902.79,,,18976218.88,3165690.69,,32401209.02,291741738.31,,,,,,,,,,,,,,,,,817071560.87,,148485216.04,,,,,74687526.01,36847501.9,,,,15104382.65,22599456.64,,,,,,,,,,,,347113.62,311892258.37,,,,,,913800.0,,913800.0,,,,,,,,,,,,,,,,,312806058.37,,,,,,504265502.5,504265502.5,817071560.87,,,,,,,,,,,,,,3063395.69,213515240.67,111535027.91,678776.45,189690640.38,26175076.55,10757665.82,,,,0
301092.SZ,20210930,20210930,20210630,1,1,2,100000000.0,13172717.31,270713773.18,33548652.45,19709.11,96619920.64,45285493.14,11883508.87,75584802.13,4833100.61,2153011.5,,,100495685.29,,,,,,,,,4938942.66,345048309.94,,,,25467737.42,,,,114699851.05,13722430.98,,,,,9604270.2,,,706917.24,2608031.94,,154000.44,168946527.28,,,,,,,,,,,,,,,,,513994837.22,,19520753.23,,,,,2540000.0,43050306.07,1508296.06,,,11759515.45,6896635.63,,,,,,,,,,,,81050.11,95403080.7,,,,,12366.98,50623.08,,1136904.47,,,,,,,,,,,,,,,,,96539985.17,,,,,,417454852.05,417454852.05,513994837.22,,,,,,,,,,,,,,1878462.95,87468311.0,45590306.07,4833100.61,114699851.05,13722430.98,8168061.2,,,,0
688280.SH,20210930,20210930,20210630,1,1,2,442666667.0,894476802.56,-976099320.73,899094.13,13184112.54,59400136.87,,19763112.04,181702901.11,3628215.61,11920412.98,,,326202889.72,,1129578.0,,,,,,,69268986.65,742623467.42,,,,,,,,399853141.78,226624511.26,,,,,20685155.99,,,5507943.1,34889895.7,,15453518.43,803465143.38,,,,,,,,,,,,,,,,,1546088610.8,30230539.06,133547069.6,,,,,,563859536.05,,,,29583920.87,2524129.64,,,172371065.57,,,,,,,,20671593.65,177870.77,980782965.66,,,,12372270.48,,97095362.46,,190952983.22,,,,,,,,,,,,,,,,,1171735948.88,,,,,,374352661.92,374352661.92,1546088610.8,,-774693.58,,,,,,,,,,,38465785.71,58047779.51,201466013.15,563859536.05,3628215.61,399853141.78,226624511.26,172371065.57,,,,0
688739.SH,20210930,20210930,20210630,1,1,2,374800000.0,734444685.8,3396987451.97,187400000.0,,608672843.09,1191351891.7,,1054735703.83,1219355.81,37299627.87,,,354226430.34,,,,,,,,,286788672.28,3534294524.92,,,,,,,,992958799.31,123183149.0,,,,,124979153.38,37403522.24,,9050693.68,30652687.96,,130078611.24,1613236414.24,,,,,,,,,,,,,,,,,5147530939.16,,,,,,,,148208458.3,,,,77302927.23,64354057.91,,,630860.89,,,,,,,,4490748.9,,302413975.08,,,,,11780995.48,115695798.77,10000.0,151484826.31,,,,,,,,,,,,,,,,,453898801.39,,,,,,4693632137.77,4693632137.77,5147530939.16,,,,,,,,,,,,,,7426921.85,1054735703.83,148208458.3,1219355.81,992958799.31,123183149.0,630860.89,,,,0
688257.SH,20210930,20210930,20210630,1,1,2,69600000.0,120711086.88,354258835.38,35578081.91,,96783947.91,10031.5,174202025.95,252164108.05,536918.74,4547180.85,,,224825161.55,,,,,,,,,8837304.86,768572197.84,,,38514389.0,,,,,73635279.62,111776253.35,,,,,34856344.7,,51589238.88,103910.39,18435539.22,,55140345.4,397586443.33,,,,,,,,,,,,,,,,,1166158641.17,65637835.31,93742444.71,,,,,125566959.44,126504293.58,,,,22688466.25,8774656.79,,,490532.95,,,,,,,,9214413.6,59177393.48,448628032.85,,,,,6652700.22,18714584.7,,105265479.35,,,,,,,,,,,,,,,,,553893512.2,,,,,37256578.29,575008550.68,612265128.97,1166158641.17,,-5139453.49,,,,,,,,,,,,2468872.05,426366134.0,252071253.02,536918.74,73635279.62,111776253.35,490532.95,,,,0
301089.SZ,20210929,20210929,20210630,1,1,2,94500000.0,66769784.25,354761536.72,20439948.35,,98411288.55,,,50016850.09,919628.6,11281050.89,,,147033950.92,,,,,,,,,394169.51,358691498.47,,,1048626.48,,,,2429436.98,442433003.06,1145851.56,,,,,54586541.88,,,2636527.84,7455913.29,,44623672.99,571154217.87,,,,,,,,,,,,,,,,,929845716.35,33400000.0,125430208.33,,,,,50993068.37,98531577.43,178772.46,,,6690406.45,3955453.56,,,6019877.15,,,,,,,,12494517.5,505579.2,308688531.25,,,,,1873238.24,41403893.18,,76764510.22,,,,,,,,,,,,,,,,,385453041.47,,,,,,544392674.88,544392674.88,929845716.35,,7921405.56,,,,,,,,,,,,3889070.8,50016850.09,149524645.8,919628.6,442433003.06,1145851.56,6019877.15,87378.79,,,0
301091.SZ,20210929,20210929,20210630,1,1,2,120000000.0,62975878.12,236035902.45,23690942.66,,103732087.92,,291650.0,509323494.57,,29865579.31,,,2454780.59,,,,,,,,,30549462.32,716755186.18,,,1478772.45,,,,,298036307.53,20633849.62,,,,,87208465.37,,1332394.82,7496452.08,12268109.95,,20119194.46,480945603.37,,,,,,,,,,,,,,,,,1197700789.55,95978676.64,182146522.23,,,,,1355917.88,172207821.08,,,,45844179.53,26432154.75,,32723800.27,17531927.78,,,,,,,,13349069.92,4847466.88,582541327.76,,,,,243142.12,34356434.53,,163524697.2,,,,,,,,,,,,,,,,,746066024.96,,,,,8932041.36,442702723.23,451634764.59,1197700789.55,,,,,,,,,,,,,17932974.3,86102467.44,509615144.57,173563738.96,22605157.17,298036307.53,20633849.62,50255728.05,,,,0
301090.SZ,20210929,20210929,20210630,1,1,2,1257504070.0,1286064556.25,1087447035.0,39747450.24,,829911376.05,,7198965.0,722857403.67,,207043952.28,,,1333875324.71,,,,,,,,,120878272.71,3347314948.22,,,,,,,,1250242405.72,852781208.51,,,,,241152558.91,,,12399560.58,8345562.53,,78140765.88,2470065653.55,,,,60747820.0,,,,,,,,,,,,,5817380601.77,117659841.4,,,,,,477996538.72,328856890.45,,,,57665097.81,46403581.46,,,,,,,,,,,,227978.35,1667689503.35,,,,,31732810.58,257088371.73,,431775458.84,,,,,,,,,,,,,,,,,2099464962.19,,,,,,3717915639.58,3717915639.58,5817380601.77,,47152528.09,,,,,,,,,,,,550033068.97,730056368.67,806853429.17,34406738.57,1250242405.72,852781208.51,206506347.59,,,,0
688211.SH,20210929,20210929,20210630,1,1,2,98608698.0,481536552.77,293817405.5,18530675.17,,99434367.76,13380784.99,,321765841.56,6669412.77,108718704.12,,,1874533870.75,,700000.0,,,,,,,45349869.92,2505466146.93,,,,,,,1484000.0,260644836.13,18458557.0,,,,,41546406.22,,,2584009.71,50710484.12,,100408237.23,477732677.95,,,,,,,,,,,,,,,,,2983198824.88,50000000.0,227647871.52,,,,,,584032306.31,,,,16369472.74,49964034.89,,,167939907.94,,,,,,,,746325.8,,1965476898.68,,,,12815407.55,,59491342.68,,125228594.76,,,,,,,,,,,,,,,,,2090705493.44,,,,,,892493331.44,892493331.44,2983198824.88,,,,,,,,,,,,,32659247.06,918776979.48,321765841.56,584032306.31,6669412.77,260644836.13,18458557.0,167939907.94,1646626.93,,,0
301086.SZ,20210928,20210928,20210630,1,1,2,45000000.0,93691595.45,231023522.9,13480164.1,,58287591.34,3178479.21,,234764651.22,2999439.28,16540056.29,,,114163617.06,,,,,,,,,10604704.75,448730371.81,,,,,,,,131952043.88,67815713.85,,,,,69272398.52,,25665759.15,6787520.67,12051392.34,,8264745.2,350238597.85,,,,,,,,,,,,,,,,,798968969.66,59939239.55,106270325.54,,,,,59827804.97,119317197.24,,,,13480682.82,11507593.61,207328.53,,1627914.0,,,,,,,,10609087.17,5177352.09,328133398.63,,,,825000.0,7970.27,8918469.05,,85585514.2,,,,,,,,,,,,,,,,,413718912.83,,,,,2054774.38,383195282.45,385250056.83,798968969.66,,,,,,,,,,,,,873829.0,108112.66,234764651.22,179145002.21,2999439.28,131952043.88,67815713.85,1835242.53,,,,0
